TABLE_SCHEMA;TABLE_NAME;SoDong
dbo;KBTL;0
dbo;KBTL_BS;0
dbo;KBTL_CT;0
dbo;KBTL_HDGC;0
dbo;KBTL_NPL_BT;0
dbo;KBTL_NPL_BT_BB;0
dbo;KBTL_NPL_HUY;0
dbo;KBTL_NPL_HUY_BB;0
dbo;KBTL_TH;0
dbo;KBTL_TH_NPL;0
dbo;KBTLGH_HDGC;0
dbo;KD_SSP;0
dbo;KHO_CX_SHM;0
dbo;KHO_CX_SHM_ECUS;0
dbo;KHO_CX_SNPL;0
dbo;KHO_CX_SNPL_ECUS;0
dbo;KHO_CX_SSP;0
dbo;KHO_CX_SSP_ECUS;0
dbo;KHO_CX_STB;0
dbo;KHO_CX_STB_ECUS;0
dbo;KHO_DDIEUCHINH;0
dbo;KHO_DDIEUCHINH_HANG;0
dbo;KHO_DDINHMUC;0
dbo;KHO_DHDGC_CHUNGTU;0
dbo;KHO_DLOGINFO;0
dbo;KHO_DPHIEU_LRTD;0
dbo;KHO_DPHIEU_LRTD_HANG;0
dbo;KHO_DPHIEUKK;0
dbo;KHO_DPHIEUKK_HANG;0
dbo;KHO_DPHIEUKK2;0
dbo;KHO_DPHIEUKK2_HANG;0
dbo;KHO_DPHIEUNX;0
dbo;KHO_DPHIEUNX_HANG;0
dbo;KHO_DPHIEUNX_HANG2;0
dbo;KHO_DPHIEUNX2;0
dbo;KHO_DVATTU;0
dbo;KHO_DVATTU_CHITIET;0
dbo;KHO_HM_HD;0
dbo;KHO_HM_HD_ECUS;0
dbo;KHO_KHOA_SO;0
dbo;KHO_LECHTK;0
dbo;KHO_LENHSX;0
dbo;KHO_LENHSX_CT;0
dbo;KHO_LENHSX_SP;0
dbo;KHO_NPL_HD;0
dbo;KHO_NPL_HD_ECUS;0
dbo;KHO_NPLTHAYTHE;0
dbo;KHO_QUYETTOANSL;0
dbo;KHO_QUYETTOANSL_DM;0
dbo;KHO_QUYETTOANSL_NPLXUAT;0
dbo;KHO_QUYETTOANSL_SP;0
