Bang_Con;Cot_KhoaNgoai;Bang_Cha;Cot_KhoaChinh;CONSTRAINT_NAME
DNPLSDMAN;MA_DV;DDSTKNFIFO;MA_HQ;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;MA_HQ;DDSTKNFIFO;MA_HQ;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;MA_LH;DDSTKNFIFO;MA_HQ;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;NAMDK;DDSTKNFIFO;MA_HQ;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;SOTK;DDSTKNFIFO;MA_HQ;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;LAN_TL;DDSTKNFIFO;MA_DV;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;MA_DV;DDSTKNFIFO;MA_DV;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;MA_HQ;DDSTKNFIFO;MA_DV;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;MA_LH;DDSTKNFIFO;MA_DV;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;NAMDK;DDSTKNFIFO;MA_DV;FK_DNPLSDMAN_DDSTKNFIFO
DNPLSDMAN;SOTK;DDSTKNFIFO;MA_DV;FK_DNPLSDMAN_DDSTKNFIFO
DNPLTXMAN;LAN_TL;DDSTKNFIFO;LAN_TL;FK_DNPLTXMAN_DDSTKNFIFO
DNPLTXMAN;MA_DV;DDSTKNFIFO;LAN_TL;FK_DNPLTXMAN_DDSTKNFIFO
DNPLTXMAN;MA_HQ;DDSTKNFIFO;LAN_TL;FK_DNPLTXMAN_DDSTKNFIFO
DNPLTXMAN;MA_LH;DDSTKNFIFO;LAN_TL;FK_DNPLTXMAN_DDSTKNFIFO
DNPLTXMAN;NAMDK;DDSTKNFIFO;LAN_TL;FK_DNPLTXMAN_DDSTKNFIFO
DNPLTXMAN;SOTK;DDSTKNFIFO;LAN_TL;FK_DNPLTXMAN_DDSTKNFIFO
DNPLTXMAN;MA_LHTX;DDSTKXFIFO;SOTKX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;NAMDKTX;DDSTKXFIFO;SOTKX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;SOTKTX;DDSTKXFIFO;SOTKX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;LAN_TL;DDSTKXFIFO;SOTKX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_DV;DDSTKXFIFO;SOTKX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_HQ;DDSTKXFIFO;SOTKX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_HQTX;DDSTKXFIFO;SOTKX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;SOTKTX;DDSTKXFIFO;NAMDKX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;LAN_TL;DDSTKXFIFO;NAMDKX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_DV;DDSTKXFIFO;NAMDKX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_HQ;DDSTKXFIFO;NAMDKX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_HQTX;DDSTKXFIFO;NAMDKX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_LHTX;DDSTKXFIFO;NAMDKX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;LAN_TL;DDSTKXFIFO;MA_LHX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_DV;DDSTKXFIFO;MA_LHX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_HQ;DDSTKXFIFO;MA_LHX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_HQTX;DDSTKXFIFO;MA_LHX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_LHTX;DDSTKXFIFO;MA_LHX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;NAMDKTX;DDSTKXFIFO;NAMDKX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_DV;DDSTKXFIFO;MA_HQX;FK_DNPLTXMAN_DDSTKXFIFO
